,Item Name,price
148,Byladha Hannu,44.97947282928975
149,Maize,25.179054249956643
150,Y.Bananan T.N.,237.18390974335475
151,Chain Berry,174.10356543058276
152,Letteus Greens,178.64625805065037
153,Basale Greens,51.96853985155036
154,BaleDindu (Banana stem),32.9209630813082
155,Batani kalu,326.23638088886906
156,Sweet corn,51.64921182525608
157,Orange Australia,185.22520316168615
158,Orange Nagpura,91.72279522440883
159,Cluster Bean Local,45.49507439042538
160,Mangalore cucumber,28.08852145883011
161,Cucumber Israle,51.52874792009042
162,Cucumber Nati,50.41285107730513
163,Cucumber,28.85774339482019
164,Chow-Chow,38.073390968135364
165,Bottle Gourd,33.33064872934727
166,Dry fruit mixed,140.33302725801767
167,Dry dates,172.0289264344753
168,Peas Delhi,83.94859354492272
169,Peas local,207.35699062469254
